WRN 2026-04-03T13:08:55.299 ui.10526   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-03T13:08:55.300 ui.10526   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-03T13:08:55.300 ui.10526   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-03T13:08:55.300 ui.10526   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-03T13:08:55.300 ui.10526   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-04T14:13:13.350 ui.5905    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-04T14:13:13.350 ui.5905    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-04T14:13:13.350 ui.5905    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-04T14:13:13.350 ui.5905    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-04T14:13:13.350 ui.5905    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-04T14:16:46.558 ui.6318    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-04T14:16:46.558 ui.6318    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-04T14:16:46.558 ui.6318    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-04T14:16:46.558 ui.6318    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-04T14:16:46.558 ui.6318    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-04-23T17:23:14.856 ui.137543  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-23T17:23:14.857 ui.137543  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-23T17:23:14.857 ui.137543  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-23T17:23:14.857 ui.137543  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-23T17:23:14.857 ui.137543  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
ERR 2026-04-23T17:23:15.098 nvim.137544.0 os_set_cloexec:497: Failed to get flags on descriptor 3: Bad file descriptor
WRN 2026-04-24T15:25:10.240 ui.257544  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-24T15:25:10.240 ui.257544  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-24T15:25:10.241 ui.257544  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-24T15:25:10.241 ui.257544  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-04-24T15:25:10.241 ui.257544  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-06T14:45:01.471 ui.131267  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-06T14:45:01.471 ui.131267  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-06T14:45:01.471 ui.131267  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-06T14:45:01.471 ui.131267  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-06T14:45:01.471 ui.131267  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-07T17:37:04.387 ui.166441  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-07T17:37:04.387 ui.166441  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-07T17:37:04.387 ui.166441  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-07T17:37:04.387 ui.166441  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-07T17:37:04.387 ui.166441  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
